电影：电锯惊魂 | 评分：8.7 | 评价人数611723
电影：末路狂花 | 评分：9.0 | 评价人数
电影：高山下的花环 | 评分：9.5 | 评价人数
电影：无间道2 | 评分：8.8 | 评价人数
电影：达拉斯买家俱乐部 | 评分：8.8 | 评价人数505082
电影：疯狂原始人 | 评分：8.7 | 评价人数919914
电影：绿里奇迹 | 评分：8.9 | 评价人数
电影：爱在午夜降临前 | 评分：8.9 | 评价人数472223
电影：疯狂的石头 | 评分：8.6 | 评价人数924343
电影：雨中曲 | 评分：9.1 | 评价人数
电影：2001太空漫游 | 评分：8.9 | 评价人数
电影：海街日记 | 评分：8.8 | 评价人数519961
电影：风之谷 | 评分：8.9 | 评价人数
电影：上帝之城 | 评分：9.0 | 评价人数
电影：心迷宫 | 评分：8.7 | 评价人数616121
电影：英雄本色 | 评分：8.6 | 评价人数
电影：记忆碎片 | 评分：8.7 | 评价人数
电影：纵横四海 | 评分：8.8 | 评价人数
电影：无敌破坏王 | 评分：8.7 | 评价人数611189
电影：卢旺达饭店 | 评分：8.9 | 评价人数366616
电影：东京教父 | 评分：9.0 | 评价人数
电影：小偷家族 | 评分：8.7 | 评价人数894217
电影：牯岭街少年杀人事件 | 评分：8.9 | 评价人数
电影：恐怖游轮 | 评分：8.5 | 评价人数987935
电影：冰川时代 | 评分：8.7 | 评价人数
电影：魔女宅急便 | 评分：8.7 | 评价人数
电影：芙蓉镇 | 评分：9.3 | 评价人数
电影：忠犬八公物语 | 评分：9.2 | 评价人数
电影：岁月神偷 | 评分：8.7 | 评价人数612215
电影：荒蛮故事 | 评分：8.7 | 评价人数516779
电影：遗愿清单 | 评分：8.7 | 评价人数537326
电影：大佛普拉斯 | 评分：8.7 | 评价人数552808
电影：源代码 | 评分：8.6 | 评价人数924370
电影：花束般的恋爱 | 评分：8.6 | 评价人数
电影：疯狂的麦克斯4：狂暴之路 | 评分：8.7 | 评价人数617664
电影：白日梦想家 | 评分：8.6 | 评价人数
电影：你看起来好像很好吃 | 评分：8.9 | 评价人数375262
电影：可可西里 | 评分：8.9 | 评价人数345838
电影：贫民窟的百万富翁 | 评分：8.6 | 评价人数806260
电影：爱乐之城 | 评分：8.4 | 评价人数
电影：城市之光 | 评分：9.3 | 评价人数
电影：波西米亚狂想曲 | 评分：8.6 | 评价人数
电影：爆裂鼓手 | 评分：8.6 | 评价人数689941
电影：东邪西毒 | 评分：8.6 | 评价人数
电影：青蛇 | 评分：8.6 | 评价人数
电影：哈利·波特与死亡圣器(上) | 评分：8.6 | 评价人数694491
电影：无耻混蛋 | 评分：8.7 | 评价人数561058
电影：终结者2：审判日 | 评分：8.8 | 评价人数
电影：大红灯笼高高挂 | 评分：8.8 | 评价人数
电影：黑天鹅 | 评分：8.6 | 评价人数846140
电影：新龙门客栈 | 评分：8.7 | 评价人数
电影：初恋这件小事 | 评分：8.5 | 评价人数1050933
电影：人工智能 | 评分：8.7 | 评价人数
电影：千钧一发 | 评分：8.8 | 评价人数
电影：崖上的波妞 | 评分：8.6 | 评价人数
电影：雨人 | 评分：8.7 | 评价人数
电影：虎口脱险 | 评分：8.9 | 评价人数
电影：哈利·波特与凤凰社 | 评分：8.6 | 评价人数
电影：彗星来的那一夜 | 评分：8.6 | 评价人数682960
电影：罗生门 | 评分：8.8 | 评价人数
电影：海边的曼彻斯特 | 评分：8.6 | 评价人数651393
电影：恋恋笔记本 | 评分：8.5 | 评价人数747163
电影：真爱至上 | 评分：8.5 | 评价人数
电影：火星救援 | 评分：8.5 | 评价人数
电影：黑客帝国2：重装上阵 | 评分：8.7 | 评价人数
电影：步履不停 | 评分：8.8 | 评价人数327306
电影：奇迹男孩 | 评分：8.6 | 评价人数600211
电影：冰雪奇缘 | 评分：8.5 | 评价人数
电影：千年女优 | 评分：8.8 | 评价人数
电影：战争之王 | 评分：8.7 | 评价人数414941
电影：谍影重重2 | 评分：8.7 | 评价人数399223
电影：蜘蛛侠：平行宇宙 | 评分：8.6 | 评价人数
电影：攻壳机动队 | 评分：9.0 | 评价人数
电影：血钻 | 评分：8.7 | 评价人数421393
电影：魂断蓝桥 | 评分：8.8 | 评价人数
电影：小姐 | 评分：8.5 | 评价人数
电影：隐藏人物 | 评分：8.9 | 评价人数
电影：血观音 | 评分：8.6 | 评价人数
电影：房间 | 评分：8.7 | 评价人数399647
